serial_number,fold,true_biotreat,predicted_biotreat,confidence,served_population,population_bucket,N2O_true_EF,N2O_pred_EF_mean,N2O_pred_EF_p2.5,N2O_pred_EF_p97.5,CH4_true_EF,CH4_pred_EF_mean,CH4_pred_EF_p2.5,CH4_pred_EF_p97.5
7165,1,CAS,CAS,0.3879386797174811,79870.0,large: 10000+,0.46002504380856235,0.4484519958496094,0.08300258219242096,1.264359712600708,0.021608997891512972,0.04610222578048706,0.02108687162399292,0.07849923521280289
7176,1,Lagoon,Lagoon,0.7530556104183197,11375.0,large: 10000+,0.06996540113766683,0.21671347320079803,0.04701431095600128,0.5016818642616272,0.102,0.08276839554309845,0.03759314864873886,0.12966200709342957
7217,1,EA,EA,0.6402339254021645,11350.0,large: 10000+,0.8070073797106073,0.6194241642951965,0.04821823164820671,1.7248899936676025,0.021608997891512972,0.04004616662859917,0.012895681895315647,0.08045561611652374
7236,1,CAS,CAS,0.543246623173356,73135.0,large: 10000+,0.46002504380856235,0.5287690162658691,0.07329029589891434,1.5548919439315796,0.021608997891512972,0.02779693529009819,0.010409404523670673,0.05744481086730957
7243,1,CAS,CAS,0.8039235198497772,2880355.0,large: 10000+,0.46002504380856235,0.4987800717353821,0.040107257664203644,1.8857249021530151,0.021608997891512972,0.023062869906425476,0.004048855509608984,0.07080564647912979
7246,1,CAS,CAS,0.756281881839037,130785.0,large: 10000+,0.46002504380856235,0.5213475823402405,0.04556076228618622,1.8427013158798218,0.021608997891512972,0.023570595309138298,0.004819661378860474,0.06661304831504822
7275,1,SBR,EA,0.4442542498148977,21970.0,large: 10000+,1.8718395132955983,0.5578634142875671,0.0588185079395771,1.4458215236663818,0.016693715234024208,0.035334594547748566,0.013558631762862206,0.06599268317222595
7290,1,EA,EA,0.3944965828210115,11195.0,large: 10000+,0.8070073797106073,0.5678002238273621,0.07427005469799042,1.3631527423858643,0.021608997891512972,0.04059288278222084,0.018301740288734436,0.07035626471042633
7299,1,EA,Lagoon,0.5175784478858113,17590.0,large: 10000+,0.8070073797106073,0.5658616423606873,0.09171418100595474,1.7250643968582153,0.021608997891512972,0.06414847075939178,0.029817931354045868,0.10615921765565872
7314,1,Lagoon,EA,0.4430238013714552,13700.0,large: 10000+,0.06996540113766683,0.5853678584098816,0.06678713858127594,1.4296505451202393,0.102,0.041222184896469116,0.017581980675458908,0.07212555408477783
7340,1,EA,EA,0.4652943828105926,13250.0,large: 10000+,0.8070073797106073,0.576129138469696,0.06362534314393997,1.4313844442367554,0.021608997891512972,0.0415208525955677,0.01768294721841812,0.07321958988904953
7368,1,Lagoon,Lagoon,0.4840398907139897,18880.0,large: 10000+,0.06996540113766683,0.36483773589134216,0.07290695607662201,0.9003775119781494,0.102,0.06202864274382591,0.030070822685956955,0.09946382790803909
7382,1,BNR,Lagoon,0.5279949213936925,25580.0,large: 10000+,0.6015299626676763,0.35650601983070374,0.07532074302434921,0.8902167081832886,0.017852082981753833,0.06490256637334824,0.030514094978570938,0.10396472364664078
7432,1,CAS,CAS,0.7578515558242798,63595.0,large: 10000+,0.46002504380856235,0.5327416658401489,0.04867028072476387,1.844029426574707,0.021608997891512972,0.02364850975573063,0.004962181206792593,0.06718415766954422
7434,1,CAS,CAS,0.6451610710769892,24460.0,large: 10000+,0.46002504380856235,0.5373989343643188,0.05920032784342766,1.697289228439331,0.021608997891512972,0.025460753589868546,0.007182935252785683,0.061544355005025864
7512,1,EA,Lagoon,0.4596610910817981,22545.0,large: 10000+,0.8070073797106073,0.4288872182369232,0.08035023510456085,1.0545611381530762,0.021608997891512972,0.05940429866313934,0.02792215347290039,0.0962255448102951
7513,1,Lagoon,Lagoon,0.8080321781933307,31120.0,large: 10000+,0.06996540113766683,0.18174855411052704,0.03885126858949661,0.3928089737892151,0.102,0.08782825618982315,0.03918255493044853,0.13795815408229828
7527,1,CAS,EA,0.3570957583710551,22500.0,large: 10000+,0.46002504380856235,0.6019091606140137,0.07451813668012619,1.4445078372955322,0.021608997891512972,0.038509320467710495,0.016823207959532738,0.06774134933948517
7533,1,Lagoon,Lagoon,0.6678574335575104,27130.0,large: 10000+,0.06996540113766683,0.2648470103740692,0.05412127077579498,0.6309911608695984,0.102,0.07698280364274979,0.03573557734489441,0.12021201103925705
